Country,Region_2015,Happiness Rank_2015,Happiness Score_2015,Economy (GDP per Capita)_2015,Family_2015,Health (Life Expectancy)_2015,Freedom_2015,Trust (Government Corruption)_2015,Generosity_2015,Dystopia Residual_2015,Region_2016,Happiness Rank_2016,Happiness Score_2016,Economy (GDP per Capita)_2016,Family_2016,Health (Life Expectancy)_2016,Freedom_2016,Trust (Government Corruption)_2016,Generosity_2016,Dystopia Residual_2016,Happiness Rank_2017,Happiness Score_2017,Economy (GDP per Capita)_2017,Family_2017,Health (Life Expectancy)_2017,Freedom_2017,Generosity_2017,Trust (Government Corruption)_2017,Dystopia Residual_x,Region_2017,Happiness Rank_2018,Happiness Score_2018,Economy (GDP per Capita)_2018,Family_2018,Health (Life Expectancy)_2018,Freedom_2018,Generosity_2018,Trust (Government Corruption)_2018,Region_2018,Happiness Rank_2019,Happiness Score_2019,Economy (GDP per Capita)_2019,Family_2019,Health (Life Expectancy)_2019,Freedom_2019,Generosity_2019,Trust (Government Corruption)_2019,Region_2019,Region_2020,Happiness Score_2020,Economy (GDP per Capita)_2020,Family_2020,Health (Life Expectancy)_2020,Freedom_2020,Generosity_2020,Trust (Government Corruption)_2020,Dystopia Residual_y,Happiness Rank_2020,Region,Happiness Score_2021,Economy (GDP per Capita),Family,Health (Life Expectancy),Freedom,Generosity,Trust (Government Corruption),Dystopia Residual_2021,Happiness Rank_2021,Happiness Rank_2022,Happiness Score_2022,Dystopia Residual_2022,Code
Venezuela,Latin America and Caribbean,23,6.81,1.04424,1.25596,0.72052,0.42908,0.11069,0.05841,3.19131,Latin America and Caribbean,44,6.084,1.13367,1.03302,0.61904,0.19847,0.08304,0.0425,2.97468,82,5.25,1.12843120098114,1.43133759498596,0.617144227027893,0.153997123241425,0.0650196298956871,0.0644911229610443,1.78946375846863,Latin America and Caribbean,102,4.806,0.996,1.469,0.657,0.133,0.056,0.052,Latin America and Caribbean,108,4.707,0.96,1.427,0.805,0.154,0.064,0.047,Latin America and Caribbean,Latin America and Caribbean,5.053199768,8.977793694,0.890408158,66.50534058,0.62327832,-0.169090509,0.837038398,1.74484086,99,Latin America and Caribbean,4.892,9.073,0.861,66.7,0.615,-0.169,0.827,2.135,107,108,4.925,2.79,VEN
Singapore,Southeastern Asia,24,6.798,1.52186,1.02,1.02525,0.54252,0.4921,0.31105,1.88501,Southeastern Asia,22,6.739,1.64555,0.86758,0.94719,0.4877,0.46987,0.32706,1.99375,26,6.57200002670288,1.69227766990662,1.35381436347961,0.949492394924164,0.549840569496155,0.345965981483459,0.46430778503418,1.21636199951172,Southeastern Asia,34,6.343,1.529,1.451,1.008,0.631,0.261,0.457,Southeastern Asia,34,6.262,1.572,1.463,1.141,0.556,0.271,0.453,Southeastern Asia,Southeast Asia,6.377099991,11.39552116,0.910268962,76.80458069,0.926645339,0.029879224,0.109784193,0.937031746,31,Southeast Asia,6.377,11.488,0.915,76.953,0.927,-0.018,0.082,1.379,32,27,6.48,0.932,SGP
Panama,Latin America and Caribbean,25,6.786,1.06353,1.1985,0.79661,0.5421,0.0927,0.24434,2.84848,Latin America and Caribbean,25,6.701,1.18306,0.98912,0.70835,0.48927,0.08423,0.2418,3.00559,30,6.4520001411438,1.23374843597412,1.37319254875183,0.706156134605408,0.550026834011078,0.21055693924427,0.070983923971653,2.30719995498657,Latin America and Caribbean,27,6.43,1.112,1.438,0.759,0.597,0.125,0.063,Latin America and Caribbean,31,6.321,1.149,1.442,0.91,0.516,0.109,0.054,Latin America and Caribbean,Latin America and Caribbean,6.304800034,10.03423405,0.902094483,69.60301208,0.880366504,-0.153927714,0.851588905,2.221176147,36,Latin America and Caribbean,6.18,10.35,0.896,69.652,0.872,-0.166,0.856,2.509,41,37,6.309,2.086,PAN
Germany,Western Europe,26,6.75,1.32792,1.29937,0.89186,0.61477,0.21843,0.28214,2.11569,Western Europe,16,6.994,1.44787,1.09774,0.81487,0.53466,0.28551,0.30452,2.50931,16,6.95100021362305,1.48792338371277,1.47252035140991,0.798950731754303,0.562511384487152,0.336269170045853,0.276731938123703,2.01576995849609,Western Europe,15,6.965,1.34,1.474,0.861,0.586,0.273,0.28,Western Europe,17,6.985,1.373,1.454,0.987,0.495,0.261,0.265,Western Europe,Western Europe,7.075799942,10.7328186,0.898874462,72.20201874,0.867371082,0.080179386,0.456422031,2.295249462,17,Western Europe,7.155,10.873,0.903,72.5,0.875,0.011,0.46,2.824,13,14,7.034,2.142,DEU
Chile,Latin America and Caribbean,27,6.67,1.10715,1.12447,0.85857,0.44132,0.12869,0.33363,2.67585,Latin America and Caribbean,24,6.705,1.2167,0.90587,0.81883,0.37789,0.11451,0.31595,2.95505,20,6.65199995040894,1.25278460979462,1.28402495384216,0.819479703903198,0.376895278692245,0.326662421226501,0.0822879821062088,2.50958585739136,Latin America and Caribbean,25,6.476,1.131,1.331,0.808,0.431,0.197,0.061,Latin America and Caribbean,26,6.444,1.159,1.369,0.92,0.357,0.187,0.056,Latin America and Caribbean,Latin America and Caribbean,6.228499889,10.0320549,0.879713595,69.90061951,0.744896293,-0.065668367,0.838239431,2.283012867,39,Latin America and Caribbean,6.172,10.071,0.882,70.0,0.742,-0.044,0.83,2.682,43,44,6.172,2.04,CHL
France,Western Europe,29,6.575,1.27778,1.26038,0.94579,0.55011,0.20646,0.12332,2.21126,Western Europe,32,6.478,1.39488,1.00508,0.83795,0.46562,0.17808,0.1216,2.4744,31,6.44199991226196,1.43092346191406,1.38777685165405,0.844465851783752,0.470222115516663,0.129762306809425,0.172502428293228,2.00595474243164,Western Europe,23,6.489,1.293,1.466,0.908,0.52,0.098,0.176,Western Europe,24,6.592,1.324,1.472,1.045,0.436,0.111,0.183,Western Europe,Western Europe,6.663799763,10.58422279,0.937103748,73.80193329,0.825467646,-0.130641967,0.583521128,2.053198338,23,Western Europe,6.69,10.704,0.942,74.0,0.822,-0.147,0.571,2.521,21,20,6.687,1.895,FRA
Argentina,Latin America and Caribbean,30,6.574,1.05351,1.24823,0.78723,0.44974,0.08484,0.11451,2.836,Latin America and Caribbean,26,6.65,1.15137,1.06612,0.69711,0.42284,0.07296,0.10989,3.12985,24,6.59899997711182,1.18529546260834,1.44045114517212,0.695137083530426,0.494519203901291,0.109457060694695,0.059739887714386,2.61400532722473,Latin America and Caribbean,29,6.388,1.073,1.468,0.744,0.57,0.062,0.054,Latin America and Caribbean,47,6.086,1.092,1.432,0.881,0.471,0.066,0.05,Latin America and Caribbean,Latin America and Caribbean,5.974699974,9.810955048,0.900567949,68.80380249,0.831132412,-0.194913864,0.842009842,2.072540998,55,Latin America and Caribbean,5.929,9.962,0.898,69.0,0.828,-0.182,0.834,2.461,57,57,5.967,1.891,ARG
Uruguay,Latin America and Caribbean,32,6.485,1.06166,1.2089,0.8116,0.60362,0.24558,0.2324,2.32142,Latin America and Caribbean,29,6.545,1.18157,1.03143,0.72183,0.54388,0.21394,0.18056,2.67139,28,6.4539999961853,1.21755969524384,1.41222786903381,0.719216823577881,0.57939225435257,0.175096929073334,0.178061872720718,2.17240953445435,Latin America and Caribbean,31,6.379,1.093,1.459,0.771,0.625,0.13,0.155,Latin America and Caribbean,33,6.293,1.124,1.465,0.891,0.523,0.127,0.15,Latin America and Caribbean,Latin America and Caribbean,6.440100193,9.948192596,0.92281127,69.00254822,0.892395437,-0.101103112,0.635994136,2.167276382,26,Latin America and Caribbean,6.431,9.966,0.925,69.1,0.896,-0.092,0.59,2.6,31,30,6.474,1.974,URY
Colombia,Latin America and Caribbean,33,6.477,0.91861,1.24018,0.69077,0.53466,0.0512,0.18401,2.85737,Latin America and Caribbean,31,6.481,1.03032,1.02169,0.59659,0.44735,0.05399,0.15626,3.17471,36,6.35699987411499,1.07062232494354,1.4021829366684,0.595027923583984,0.477487415075302,0.149014472961426,0.0466687418520451,2.61606812477112,Latin America and Caribbean,37,6.26,0.96,1.439,0.635,0.531,0.099,0.039,Latin America and Caribbean,43,6.125,0.985,1.41,0.841,0.47,0.099,0.034,Latin America and Caribbean,Latin America and Caribbean,6.163400173,9.500369072,0.884440243,67.69958496,0.836179912,-0.161235645,0.86457181,2.421656609,44,Latin America and Caribbean,6.012,9.557,0.847,68.001,0.837,-0.135,0.841,2.794,52,66,5.781,1.971,COL
Thailand,Southeastern Asia,34,6.455,0.9669,1.26504,0.7385,0.55664,0.03187,0.5763,2.31945,Southeastern Asia,33,6.474,1.0893,1.04477,0.64915,0.49553,0.02833,0.58696,2.5796,32,6.42399978637695,1.12786877155304,1.42579245567322,0.647239029407501,0.580200731754303,0.572123110294342,0.0316127352416515,2.03950834274292,Southeastern Asia,46,6.072,1.016,1.417,0.707,0.637,0.364,0.029,Southeastern Asia,52,6.008,1.05,1.409,0.828,0.557,0.359,0.028,Southeastern Asia,Southeast Asia,5.998799801,9.741791725,0.889973223,67.25059509,0.905063033,0.268685192,0.886272311,1.832384109,54,Southeast Asia,5.985,9.805,0.888,67.401,0.884,0.287,0.895,2.309,54,61,5.891,1.6,THA
