endTime,artistName,trackName,msPlayed
2021-12-27 00:59,Taylor Swift,invisible string,147425
2021-12-27 01:03,Taylor Swift,cardigan,239560
2021-12-27 01:06,Taylor Swift,Red (Taylor's Version),223093
2021-12-27 01:19,Taylor Swift,Fearless (Taylor’s Version),184420
2021-12-27 03:00,Taylor Swift,Fearless (Taylor’s Version),57533
2021-12-27 03:04,Taylor Swift,willow,214706
2021-12-27 03:07,Taylor Swift,You Belong With Me (Taylor’s Version),231124
2021-12-27 03:11,Taylor Swift,hoax,220042
2021-12-27 03:15,Taylor Swift,Delicate,232253
2021-12-27 03:30,Taylor Swift,the 1,210251
2021-12-27 03:35,Taylor Swift,exile (feat. Bon Iver),285634
2021-12-27 03:37,Taylor Swift,Tim McGraw,166438
2021-12-27 03:38,Taylor Swift,Tim McGraw,62339
2021-12-27 06:21,Taylor Swift,Red (Taylor's Version),122331
2021-12-27 06:25,Taylor Swift,Red (Taylor's Version),101014
2021-12-27 06:29,Taylor Swift,Begin Again (Taylor's Version),238866
2021-12-27 06:33,Taylor Swift,Love Story (Taylor’s Version),235766
2021-12-27 06:44,Taylor Swift,I Knew You Were Trouble (Taylor's Version),47932
2021-12-27 06:51,Taylor Swift,All Too Well (Taylor's Version),1556
2021-12-27 06:54,Taylor Swift,willow,214706
2021-12-27 06:59,Taylor Swift,my tears ricochet,255893
2021-12-27 07:03,Taylor Swift,Nothing New (feat. Phoebe Bridgers) (Taylor’s Version) (From The Vault),258813
2021-12-27 07:08,Taylor Swift,august,261922
2021-12-27 07:13,Taylor Swift,betty,294521
2021-12-27 07:23,Taylor Swift,Teardrops On My Guitar - Radio Single Remix,2602
2021-12-27 12:10,Adele,Easy On Me,224694
2021-12-27 12:14,Adele,Don't You Remember,243200
2021-12-27 12:26,Adele,I'll Be Waiting,12065
2021-12-27 13:00,Adele,I'll Be Waiting,229689
2021-12-27 13:04,Adele,Chasing Pavements,1279
2021-12-27 13:04,Adele,Chasing Pavements,205746
2021-12-27 13:07,Adele,Make You Feel My Love,212040
2021-12-27 13:11,Adele,Easy On Me,224694
2021-12-27 13:15,Adele,Rolling in the Deep,228093
2021-12-27 13:20,Adele,Someone Like You,285240
2021-12-27 13:25,Adele,Don't You Remember,40312
2021-12-27 13:25,Adele,When We Were Young,290900
2021-12-27 13:30,Adele,Tired,258853
2021-12-27 13:34,Adele,Love In The Dark,285935
2021-12-27 13:47,Adele,I'll Be Waiting,166371
2021-12-27 13:54,Adele,I'll Be Waiting,75022
2021-12-27 14:00,Adele,One And Only,348226
2021-12-27 14:04,Adele,Don't You Remember,243200
2021-12-27 14:07,Adele,Set Fire to the Rain,3930
2021-12-27 14:07,Adele,Set Fire to the Rain,199723
2021-12-27 14:07,Adele,Set Fire to the Rain,140
2021-12-27 14:13,Taylor Swift,Enchanted,352200
2021-12-27 14:18,Adele,Someone Like You,285240
2021-12-27 14:21,Alan Walker,Faded,212106
2021-12-27 14:27,Céline Dion,Let's Talk About Love,312400
2021-12-27 14:32,Céline Dion,The Power of Love,342400
2021-12-27 14:36,Adele,Rolling in the Deep,228093
2021-12-27 14:39,Shawn Mendes,Where Were You In The Morning?,200600
2021-12-27 14:43,Taylor Swift,That’s When (feat. Keith Urban) (Taylor’s Version) (From The Vault),189495
2021-12-27 14:47,Adele,Hello,295502
2021-12-27 14:51,Shawn Mendes,There's Nothing Holdin' Me Back,199440
2021-12-27 14:54,Harry Styles,Watermelon Sugar,174000
2021-12-27 14:57,Susan Egan,I Won't Say (I'm In Love),140333
2021-12-27 15:01,Taylor Swift,Lover,221306
2021-12-27 15:05,Britney Spears,Criminal,225080
2021-12-27 15:08,Dua Lipa,Levitating,203807
2021-12-27 15:13,Ed Sheeran,Perfect,263400
