Book Id,Title,Author,ISBN,ISBN13,My Rating,Average Rating,Publisher,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Read Count
25608737,Concepts of Physics (Part 1),H.C. Verma,,,5,4.34,Bhart Bhawan,456.0,2013.0,1999.0,,2021-01-01,"books_i_own, science, read",1
1215032,"The Wise Man's Fear (The Kingkiller Chronicle, #2)",Patrick Rothfuss,0756404738,9780756404734,5,4.55,DAW Books,994.0,2011.0,2011.0,2020-03-26,2020-03-25,"books_worth_rereading, favorites, books_i_own, read",2
26032887,"The Wicked King (The Folk of the Air, #2)",Holly Black,0316310336,9780316310338,5,4.33,"Little, Brown Books for Young Readers",336.0,2019.0,2019.0,2020-08-27,2020-04-25,"books_i_own, read",1
68429,"The Well of Ascension (Mistborn, #2)",Brandon Sanderson,0765316889,9780765316882,5,4.38,Tor Books,590.0,2007.0,2007.0,2020-04-05,2020-03-30,"books_worth_rereading, favorites, books_i_own, read",1
2715644,The Universe: A Biography,John Gribbin,0141021470,9780141021478,4,3.9,Penguin Books,242.0,2008.0,2007.0,,2021-01-01,"science, books_worth_rereading, favorites, books_i_own, read",1
15241,"The Two Towers (The Lord of the Rings, #2)",J.R.R. Tolkien,0618346260,9780618346264,5,4.47,Houghton Mifflin,322.0,2003.0,1954.0,,2020-04-11,"books_i_own, read",1
561456,"The Titan's Curse (Percy Jackson and the Olympians, #3)",Rick Riordan,0141382899,9780141382890,5,4.36,Puffin Books,320.0,2007.0,2007.0,2020-10-13,2020-02-26,"books_i_own, read",3
12974095,"The Throne of Fire (Kane Chronicles, #2)",Rick Riordan,1423142012,9781423142010,5,4.19,Disney-Hyperion Books,452.0,2012.0,2011.0,,2021-01-01,"books_i_own, read",1
1953,A Tale of Two Cities,Charles Dickens,0141439602,9780141439600,0,3.86,Penguin Books,489.0,2003.0,1859.0,,2021-05-07,"classics_read, books_i_own, read",1
17364,"Surely You're Joking, Mr. Feynman!",Richard P. Feynman,009917331X,9780099173311,5,4.27,Vintage,350.0,2006.0,1985.0,,2021-01-01,"science, books_worth_rereading, favorites, books_i_own, read",1
42769202,"Starsight (Skyward, #2)",Brandon Sanderson,1473217903,9781473217904,5,4.4,Orion Publishing Co,461.0,2019.0,2019.0,2020-07-13,2020-07-03,"books_i_own, read",1
36642458,"Skyward (Skyward, #1)",Brandon Sanderson,1473217857,9781473217850,5,4.49,Gollancz,513.0,2018.0,2018.0,2020-07-05,2020-07-03,"books_worth_rereading, favorites, books_i_own, read",1
23437156,"Six of Crows (Six of Crows, #1)",Leigh Bardugo,,,5,4.49,Henry Holt & Company,465.0,2015.0,2015.0,2021-03-12,2021-03-11,"favorites, books_worth_rereading, books_i_own, read",1
28186,"The Sea of Monsters (Percy Jackson and the Olympians, #2)",Rick Riordan,0786856866,9780786856862,5,4.24,Hyperion Books,279.0,2006.0,2006.0,2020-10-13,2020-04-02,"books_i_own, read",2
7090447,"The Red Pyramid (The Kane Chronicles, #1)",Rick Riordan,1423113381,9781423113386,0,4.1,Disney-Hyperion,528.0,2010.0,2010.0,,2021-03-08,"books_i_own, read",1
18254,Oliver Twist,Charles Dickens,,,0,3.88,Penguin Books,608.0,2003.0,1838.0,,2021-05-07,"classics_read, books_i_own, read",1
52670,"One, Two, Three...Infinity: Facts and Speculations of Science",George Gamow,0486256642,9780486256641,5,4.2,Dover Publications,384.0,1988.0,1947.0,,2021-01-01,"science, books_worth_rereading, favorites, books_i_own, read",1
26032912,"The Queen of Nothing (The Folk of the Air, #3)",Holly Black,0316310409,9780316310406,5,4.37,"Little, Brown",300.0,2019.0,2019.0,,2020-04-25,"books_worth_rereading, favorites, books_i_own, read",1
50398,Northanger Abbey,Jane Austen,1593082649,9781593082642,5,3.84,Barnes & Noble Classics,260.0,2005.0,1817.0,,2020-02-26,"classics_read, books_i_own, read",1
2156,Persuasion,Jane Austen,0192802631,9780192802637,5,4.15,Oxford University Press,249.0,2004.0,1817.0,,2020-02-26,"classics_read, books_i_own, read",1
